All,Todos,module,Magento_AdminGws
None,Nenhum,module,Magento_AdminGws
"Allowed Scopes","Escopos Permitidos",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Você precisa de mais permissões para remover este item(ns): %1.",module,Magento_AdminGws
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Existem regras que foram alteradas, mas não foram aplicadas. Apenas usuários com acesso exclusivo podem aplicar regras.",module,Magento_AdminGws
"Please assign this entity to a store view.","Por favor, atribua esta entidade para uma visão de loja.",module,Magento_AdminGws
"You can create an order in an active store only.","Você pode criar uma ordem em um armazenamento ativo somente.",module,Magento_AdminGws
"Please assign this item to a store view.","Por favor, atribua este registro para uma visão de loja.",module,Magento_AdminGws
"You need more permissions to save this item.","Você precisa ter mais permissões para gravar este registro.",module,Magento_AdminGws
"You need more permissions to delete this item.","Você precisa ter mais permissões para eliminar este registo.",module,Magento_AdminGws
"You need more permissions to view this item.","Você precisa ter mais permissões para visualizar este registo.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Por favor, selecione ao menos um website ou um grupo de loja.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Você precisa ter mais permissões para associar a regra a todos escopos.",module,Magento_AdminGws
"Incorrect website ID: %1","Website ID incorreto: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Você precisa ter mais permissões para acessar o website ""%1"".",module,Magento_AdminGws
"Incorrect store ID: %1","Store ID incorreto: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Você precisa ter mais permissões para gravar esta configuração.",module,Magento_AdminGws
"Role Scopes","Escopos da Regra",module,Magento_AdminGws
Custom,Personalizado,module,Magento_AdminGws
"Read Details","Ler Detalhes",module,Magento_AdminNotification
"Mark as Read","Marcar como Lido",module,Magento_AdminNotification
"Are you sure?","Você tem certeza?",module,Magento_AdminNotification
Remove,Remover,module,Magento_AdminNotification
"Messages Inbox","Caixa de Entrada de Mensagens",module,Magento_AdminNotification
"You have %1 new system messages","Você têm novas mensagens do sistema %1",module,Magento_AdminNotification
"You have %1 new system message","Você tem %1 nova(s) mensagem(ns) de sistema",module,Magento_AdminNotification
"Incoming Message","Nova mensagem",module,Magento_AdminNotification
close,fechar,module,Magento_AdminNotification
"Read details","Ler Detalhes",module,Magento_AdminNotification
Notifications,Notificações,module,Magento_AdminNotification
"The message has been marked as Read.","A mensagem foi marcada como Lida.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Não foi possível marcar a notificação como Lida porque ocorreu um erro.",module,Magento_AdminNotification
"Please select messages.","Por favor, selecione as mensagens.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Um total de %1 registro(s) foi marcado como Lido.",module,Magento_AdminNotification
"The message has been removed.","A mensagem foi removida.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Não foi possível remover as mensagens porque ocorreu um erro.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Um total de %1 registro(s) foi removido.",module,Magento_AdminNotification
"1 Hour","1 Hora",module,Magento_AdminNotification
"2 Hours","2 Horas",module,Magento_AdminNotification
"6 Hours","6 Horas",module,Magento_AdminNotification
"12 Hours","12 Horas",module,Magento_AdminNotification
"24 Hours","24 Horas",module,Magento_AdminNotification
critical,crítico,module,Magento_AdminNotification
major,importante,module,Magento_AdminNotification
minor,secundário,module,Magento_AdminNotification
notice,aviso,module,Magento_AdminNotification
"Wrong message type","Tipo de mensagem incorreto",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%1"">configuration</a>.","O URL {{base_url}} não é recomendado em ambiente de produção para declarar o URL Base Inseguro / URL Base Seguro. É altamente recomendado alterar este valor na <a href=""%1"">configuration</a> Magento.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1.","Um ou mais dos tipos de cache estão invalidados: %1.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Por favor, acesse o <a href=""%1"">Gerenciamento de Cache</a> e atualize tipos de cache.",module,Magento_AdminNotification
"One or more media files failed to be synchronized during the media storages synchronization process. Refer to the log file for details.","Um ou mais arquivos de mídia não conseguiram ser sincronizadas durante o processo de sincronização de armazenamentos de mídia. Consulte o arquivo de log para obter detalhes.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Sincronização dos armazenamentos de mídia foi concluída.",module,Magento_AdminNotification
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Seu servidor web está configurado incorretamente. Como resultado, arquivos de configuração com informações sensíveis são acessíveis pelo lado de fora. Entre em contato com seu provedor de hospedagem.",module,Magento_AdminNotification
